Symbol;Description;Category2;Category3;Sector;Market cap;Dividend yield;Country;Action
AAPL;Apple Inc;Common stocks;Large cap;Information Technology;$2,958,565,571,010;0.48%;USA;Analyze
MSFT;Microsoft Corp;Common stocks;Large cap;Information Technology;$2,571,107,903,048;0.67%;USA;Analyze
GOOG;Alphabet Inc Class C;Common stocks;Large cap;Communication Services;$1,999,370,402,570;0.00%;USA;Analyze
GOOGL;Alphabet Inc Class A;Common stocks;Large cap;Communication Services;$1,999,370,402,570;0.00%;USA;Analyze
AMZN;Amazon.Com Inc.;Common stocks;Large cap;Consumer Discretionary;$1,720,949,662,232;0.00%;USA;Analyze
TSLA;Tesla Inc;Common stocks;Large cap;Consumer Discretionary;$1,098,605,492,197;0.00%;USA;Analyze
FB;Facebook Inc Class A;Common stocks;Large cap;Communication Services;$987,997,764,311;0.00%;USA;Analyze
NVDA;Nvidia Corp;Common stocks;Large cap;Information Technology;$773,625,000,000;0.05%;USA;Analyze
BRK.B;Berkshire Hathaway Inc. Class B;Common stocks;Large cap;Financials;$663,882,913,846;0.00%;USA;Analyze
V;Visa Inc Class A;Common stocks;Large cap;Information Technology;$479,656,520,000;0.61%;USA;Analyze
UNH;Unitedhealth Group Inc;Common stocks;Large cap;Health Care;$470,454,699,375;1.12%;USA;Analyze
JPM;JP Morgan Chase & Co;Common stocks;Large cap;Financials;$467,404,880,208;2.32%;USA;Analyze
JNJ;Johnson & Johnson;Common stocks;Large cap;Health Care;$446,672,727,730;2.45%;USA;Analyze
HD;Home Depot Inc;Common stocks;Large cap;Consumer Discretionary;$421,966,609,034;1.62%;USA;Analyze
PG;Procter & Gamble;Common stocks;Large cap;Consumer Staples;$391,958,948,243;2.08%;USA;Analyze
WMT;Walmart Stores Inc;Common stocks;Large cap;Consumer Staples;$390,451,131,748;1.55%;USA;Analyze
BAC;Bank of America Corp;Common stocks;Large cap;Financials;$365,337,511,188;1.74%;USA;Analyze
MA;Mastercard Inc Class A;Common stocks;Large cap;Information Technology;$351,197,436,181;0.49%;USA;Analyze
PFE;Pfizer Inc;Common stocks;Large cap;Health Care;$332,281,702,602;2.60%;USA;Analyze
AVGO;Broadcom Inc.;Common stocks;Large cap;Information Technology;$278,392,659,143;2.72%;USA;Analyze
DIS;Walt Disney;Common stocks;Large cap;Communication Services;$277,737,828,854;0.58%;USA;Analyze
ADBE;Adobe Inc;Common stocks;Large cap;Information Technology;$275,206,752,000;0.00%;USA;Analyze
ACN;Accenture Plc Class A;Common stocks;Large cap;Information Technology;$273,425,353,102;0.87%;USA;Analyze
NFLX;Netflix Inc;Common stocks;Large cap;Communication Services;$270,873,355,305;0.00%;USA;Analyze
CSCO;Cisco Systems Inc;Common stocks;Large cap;Information Technology;$267,480,607,718;2.29%;USA;Analyze
LLY;Eli Lilly;Common stocks;Large cap;Health Care;$266,324,888,135;1.21%;USA;Analyze
NKE;Nike Inc Class B;Common stocks;Large cap;Consumer Discretionary;$263,072,114,081;0.67%;USA;Analyze
XOM;Exxon Mobil Corp;Common stocks;Large cap;Energy;$262,015,451,666;5.52%;USA;Analyze
TMO;Thermo Fisher Scientific Inc;Common stocks;Large cap;Health Care;$260,942,583,692;0.16%;USA;Analyze
CRM;Salesforce.Com Inc;Common stocks;Large cap;Information Technology;$254,425,500,000;0.00%;USA;Analyze
KO;Coca-Cola;Common stocks;Large cap;Consumer Staples;$253,333,996,841;2.83%;USA;Analyze
ABT;Abbott Laboratories;Common stocks;Large cap;Health Care;$250,141,874,635;1.27%;USA;Analyze
COST;Costco Wholesale Corp;Common stocks;Large cap;Consumer Staples;$249,860,902,886;0.54%;USA;Analyze
ORCL;Oracle Corp;Common stocks;Large cap;Information Technology;$239,111,824,380;1.33%;USA;Analyze
ABBV;Abbvie Inc;Common stocks;Large cap;Health Care;$237,526,063,256;3.80%;USA;Analyze
PEP;Pepsico Inc;Common stocks;Large cap;Consumer Staples;$237,083,500,136;2.45%;USA;Analyze
DHR;Danaher Corp;Common stocks;Large cap;Health Care;$233,959,612,352;0.19%;USA;Analyze
CMCSA;Comcast A Corp;Common stocks;Large cap;Communication Services;$230,116,888,475;1.93%;USA;Analyze
CVX;Chevron Corp;Common stocks;Large cap;Energy;$228,989,810,318;4.39%;USA;Analyze
PYPL;Paypal Holdings Inc;Common stocks;Large cap;Information Technology;$225,598,342,326;0.00%;USA;Analyze
VZ;Verizon Communications Inc;Common stocks;Large cap;Communication Services;$221,138,726,892;5.94%;USA;Analyze
INTC;Intel Corporation Corp;Common stocks;Large cap;Information Technology;$211,239,980,000;2.65%;USA;Analyze
QCOM;Qualcomm Inc;Common stocks;Large cap;Information Technology;$208,689,600,000;1.45%;USA;Analyze
MCD;Mcdonalds Corp;Common stocks;Large cap;Consumer Discretionary;$200,441,113,338;1.94%;USA;Analyze
WFC;Wells Fargo;Common stocks;Large cap;Financials;$200,269,640,719;1.22%;USA;Analyze
